p;provincia;canton;c;eventos;perdida;perdida_mill;IDS;IGM_Desarrollo_Gestion_Inst;IGM_Planif_Partic_Ciud_Rend_Cuent;IGM_Gestion_Desarrollo_Amb;IGM_Gestion_Servicios_Econ;IGM_Gestion_Serv_Social;area_km;poblac_total;densidad_poblacion
1;SAN JOSE;ACOSTA;12;509;19438294720;19438,29472;45,09849657;63,34;48,02;58,5;58,4;32;342,24;20209;59,05
1;SAN JOSE;ALAJUELITA;10;103;5407652995;5407,652995;68,97846097;64,99;57,96;69,53;76,1;33,75;21,17;77603;3665,71
1;SAN JOSE;ASERRI;6;345;25389617755;25389,61776;47,08551973;88,02;70,18;44,43;81;32,25;167,1;57892;346,45
1;SAN JOSE;CURRIDABAT;18;49;381128117,8;381,1281178;90,76863686;80,94;80,69;79,25;67,5;70,5;15,95;65206;4088,15
1;SAN JOSE;DESAMPARADOS;3;360;46713548243;46713,54824;71,88499866;87,25;82,88;86,93;82,8;91,1;118,26;208411;1751,31
1;SAN JOSE;DOTA;17;182;4541306003;4541,306003;38,56129878;77,62;45,02;53,27;76;42,05;400,22;6948;17,36
1;SAN JOSE;ESCAZU;2;63;6684962856;6684,962856;100;88,94;85,64;53,29;85,3;76,75;34,39;56509;1643,18
1;SAN JOSE;GOICOECHEA;8;2;2839081,406;2,839081406;77,49036882;81,1;83,04;44,94;46,1;45,2;31,5;115084;3653,46
1;SAN JOSE;LEON CORTES;20;197;10152118337;10152,11834;32,62205607;67,25;34,22;36;72,9;34,5;120,8;122;100,99
1;SAN JOSE;MONTES DE OCA;15;0;0;0;96,76765787;85,65;73,87;83,68;61,2;68,2;15,16;49132;3240,9
1;SAN JOSE;MORA;7;167;10112329338;10112,32934;55,92558881;90,93;73,58;69,97;73,6;82,05;162,04;26294;162,27
1;SAN JOSE;MORAVIA;14;3;734540950,2;734,5409502;83,59200057;86,07;90,38;95;84,1;69,75;28,62;56919;1988,78
1;SAN JOSE;PEREZ ZELEDON;19;960;40085341378;40085,34138;44,57522309;91,81;91,38;66,54;79,7;72,5;1905,51;134534;70,6
1;SAN JOSE;PURISCAL;4;238;10850791384;10850,79138;53,3116743;66,82;49,68;34,93;64,2;39,7;553;33004;59,68
1;SAN JOSE;SAN JOSE;1;5;298740003;298,740003;75,39888366;89,6;79,59;99;82,1;91,8;44,62;288054;6445,71
1;SAN JOSE;SANTA ANA;9;91;5369742845;5369,742845;87,09705333;93,12;88,96;81,25;79,1;80,95;61,42;49123;799,79
1;SAN JOSE;TARRAZU;5;240;7730226095;7730,226095;23,69961656;73,21;72,06;26,39;85,9;45,4;297,5;1628;54,72
1;SAN JOSE;TIBAS;13;7;888763956,3;888,7639563;72,95261848;83,81;63,65;36,18;62,9;51,15;8,15;64842;7956,07
1;SAN JOSE;TURRUBARES;16;307;7529996752;7529,996752;39,85067121;73,09;67,1;65,69;84;73;415,29;5512;13,27
1;SAN JOSE;VAZQUEZ DE CORONADO;11;31;4909054004;4909,054004;82,83817681;76,29;62,68;67,56;54;74,8;222,2;60486;272,21
2;ALAJUELA;ALAJUELA;1;60;4642460657;4642,460657;65,31343066;87,99;86,72;48,53;75,7;75;388,43;254886;656,2
2;ALAJUELA;ATENAS;5;64;2225188478;2225,188478;65,95102538;81,92;54,87;51,03;74,9;48,5;127,19;2546;200,17
2;ALAJUELA;GRECIA;3;74;4919451659;4919,451659;74,48869916;85,51;87,61;54,16;78,9;63,85;141,52;65824;465,12
2;ALAJUELA;GUATUSO;15;625;13611825488;13611,82549;27,61401754;46,58;56,64;20,67;57,3;20;758,32;15508;20,45
2;ALAJUELA;LOS CHILES;14;232;29659183821;29659,18382;22,06208641;63,56;55,92;31,05;66,8;35,05;1358,86;23735;17,47
2;ALAJUELA;NARANJO;6;96;6467624529;6467,624529;64,49113694;78,7;60,66;52,85;80,8;59,5;126,62;42713;337,33
2;ALAJUELA;OROTINA;9;58;2364171927;2364,171927;56,58490713;88,46;59,94;38,99;56,6;60,1;141,92;20341;143,33
2;ALAJUELA;PALMARES;7;65;2200059419;2200,059419;86,79978988;76,12;58,06;50,79;81,2;83,5;38,06;34716;912,14
2;ALAJUELA;POAS;8;21;551491281,5;551,4912815;66,1707422;80,39;58,44;50,53;76,2;40,25;73,84;29199;395,44
2;ALAJUELA;SAN CARLOS;10;647;9947711041;9947,711041;44,25108488;95,72;95,36;97,96;85;84,25;3347,98;163745;48,91
2;ALAJUELA;SAN MATEO;4;20;551974255,1;551,9742551;76,05969714;81,33;54,46;42,46;66,8;74,5;125,9;6136;48,74
2;ALAJUELA;SAN RAMON;2;190;7568383604;7568,383604;63,54367412;83,69;69,71;45,79;65,9;68,6;1018,64;80566;79,09
2;ALAJUELA;UPALA;13;1304;50750513456;50750,51346;27,88796412;60,68;28,04;44,1;60,6;27;1580,67;43953;27,81
2;ALAJUELA;VALVERDE VEGA;12;13;1006347984;1006,347984;67,1932487;83,59;87,44;66,62;75,1;60,6;120,25;18085;150,4
2;ALAJUELA;ZARCERO;11;61;2744407059;2744,407059;71,79931065;78,16;62,72;61,3;79,1;35,25;155,13;12205;78,68
3;CARTAGO;ALVARADO;6;35;185361183,8;185,3611838;68,56958813;65,23;63,83;44,72;54;59;81,06;14312;176,56
3;CARTAGO;CARTAGO;1;205;7381515355;7381,515355;73,2026008;92,6;86,08;59,79;74,8;68,5;287,77;147898;513,95
3;CARTAGO;EL GUARCO;8;144;17732020819;17732,02082;51,97553685;83,09;82,88;46,36;71,4;40,9;167,69;41793;249,23
3;CARTAGO;JIMENEZ;4;0;0;0;54,47354977;67,52;55,66;50,64;70,5;70,2;286,43;14669;51,21
3;CARTAGO;LA UNION;3;32;1657963635;1657,963635;77,07372031;85,95;80,17;72,23;86,8;49,9;44,83;99399;2217,24
3;CARTAGO;OREAMUNO;7;86;4918440402;4918,440402;54,71243103;80,98;80,74;53,65;48,5;56,75;202,31;45473;224,77
3;CARTAGO;PARAISO;2;56;4260171385;4260,171385;56,8200058;75,59;80,32;56,85;71,8;61,4;411,91;57743;140,18
3;CARTAGO;TURRIALBA;5;383;42830346474;42830,34647;34,81262503;71,64;69,04;45,92;76;62,5;1642,67;69616;42,38
4;HEREDIA;BARVA;2;35;4133296918;4133,296918;84,35158888;73,99;64,35;35,29;68;48,05;53,8;4066;755,76
4;HEREDIA;BELEN;7;11;3878065724;3878,065724;98,10882065;91,07;90,64;85,31;71,7;93,25;12,15;21633;1780,49
4;HEREDIA;FLORES;8;16;1908710694;1908,710694;96,7093821;89,46;73,32;83;96,1;67;6,96;20037;2878,88
4;HEREDIA;HEREDIA;1;28;4912223116;4912,223116;80,21873681;92,98;84,15;60,87;94,3;79,15;282,6;123616;437,42
4;HEREDIA;SAN ISIDRO;6;1;18253994,61;18,25399461;91,37795714;90,05;91,2;71;86,2;78;26,96;20633;765,32
4;HEREDIA;SAN PABLO;9;0;0;0;99,93229052;88,31;75,21;41,38;74,3;75,4;7,53;27671;3674,77
4;HEREDIA;SAN RAFAEL;5;10;617597084,7;617,5970847;85,5724594;91,6;75,06;79,95;83,6;74,25;48,39;45965;949,89
4;HEREDIA;SANTA BARBARA;4;12;1083579494;1083,579494;82,53197662;73,8;65,25;53,88;59,9;59,25;53,21;36243;681,13
4;HEREDIA;SANTO DOMINGO;3;1;24338659,48;24,33865948;84,6882955;77,84;64,75;87,64;67,2;49,9;24,84;40072;1613,2
4;HEREDIA;SARAPIQUI;10;227;24380432094;24380,43209;0,708743742;86,23;65,82;51,75;61,3;47,5;2140,54;57147;26,7
5;GUANACASTE;ABANGARES;7;172;9176061459;9176,061459;44,64570852;74,21;62,69;55,8;64,6;47,5;675,76;18039;26,69
5;GUANACASTE;BAGACES;4;496;36800201767;36800,20177;48,80500876;67,86;60,7;44,28;63,7;50,25;1273,49;19536;15,34
5;GUANACASTE;CANAS;6;351;26621843219;26621,84322;20,10194226;67,32;65,24;43,2;57,6;63,45;682,2;26201;38,41
5;GUANACASTE;CARRILLO;5;202;14956217865;14956,21786;67,65429226;75,9;53;55,26;51,6;56,25;577,54;37122;64,28
5;GUANACASTE;HOJANCHA;11;184;5513558804;5513,558804;60,64863242;77,63;43,41;58,14;81,5;65,5;261,42;7197;27,53
5;GUANACASTE;LA CRUZ;10;291;14911484747;14911,48475;30,41035862;67,65;68;27,13;62;48,5;1383,9;19181;13,86
5;GUANACASTE;LIBERIA;1;223;10033406655;10033,40666;43,36807074;81,29;57,22;58,88;62,9;26,9;1436,47;62987;43,85
5;GUANACASTE;NANDAYURE;9;368;9482415441;9482,415441;42,21043102;55,87;65,61;12,85;46,9;19,25;565,59;11121;19,66
5;GUANACASTE;NICOYA;2;281;17114928346;17114,92835;42,45750105;58,02;69,57;31,95;71,3;48,75;1333,68;50825;38,11
5;GUANACASTE;SANTA CRUZ;3;530;30662273891;30662,27389;61,11138721;65,7;47,88;44,74;86,6;38,5;1312,27;55104;41,99
5;GUANACASTE;TILARAN;8;284;6904247496;6904,247496;53,29282037;66,02;59,39;35,53;64,9;55,25;638,39;1964;30,76
6;PUNTARENAS;AGUIRRE;6;270;21337177491;21337,17749;44,79621359;81,92;55,68;26,4;67,5;67,4;543,77;26861;49,4
6;PUNTARENAS;BUENOS AIRES;3;548;54211124877;54211,12488;17,68244783;63,97;71,59;40,63;60,2;34,8;2384,22;45244;18,98
6;PUNTARENAS;CORREDORES;10;539;31832316217;31832,31622;26,29098642;56,94;46,43;31,93;47,5;35,5;620,6;41831;67,4
6;PUNTARENAS;COTO BRUS;8;215;9161652482;9161,652482;26,41709874;68,37;39,54;25,91;31,7;45,25;933,91;38453;41,17
6;PUNTARENAS;ESPARZA;2;75;1893488958;1893,488958;62,37366088;92,18;80,24;70,7;82,3;79,5;216,8;28644;132,12
6;PUNTARENAS;GARABITO;11;190;19459675365;19459,67536;49,27502969;68,16;61,11;31,15;68,8;67,05;316,31;17229;54,47
6;PUNTARENAS;GOLFITO;7;445;28870269776;28870,26978;21,01416055;52,78;56,87;34,43;70,2;25,5;1753,96;3915;22,32
6;PUNTARENAS;MONTES DE ORO;4;128;5782045867;5782,045867;58,36329644;76,88;60,36;31,33;76,2;38,5;244,76;1295;52,91
